Latin-Title,Bulgarian-Title,Resource-URL
Chlorophyllum rhacodes,Червенееща сърнела|Червеникава сърнела,http://manatarka.org/chlorophyllum-rhacodes
Chroogomphus helveticus,Швейцарски овчи нос,http://manatarka.org/chroogomphus-helveticus
Chroogomphus rutilus,Бакърен овчи нос|Червен овчи нос,http://manatarka.org/chroogomphus-rutilus
Clathrus archeri,Арчеров клатрус,http://manatarka.org/clathrus-archeri
Clathrus ruber,Смърдяща кошничка|Червена решетка,http://manatarka.org/clathrus-ruber
Clavariadelphus pistillaris,Бухалка|Бухалковидна коралка|Обикновена бухалка|Смокиня,http://manatarka.org/clavariadelphus-pistillaris
Clavariadelphus truncatus,Оранжева бухалка|Отсеченовърха бухалка,http://manatarka.org/clavariadelphus-truncatus
Claviceps purpurea,Мораво рогче,http://manatarka.org/claviceps-purpurea
Clavicorona pyxidata,Чашеносещ корал,http://manatarka.org/clavicorona-pyxidata
Clavulina cinerea,Сива клавулина|Сива коралка,http://manatarka.org/clavulina-cinerea
Clavulina coralloides,Кораловидна клавулина,http://manatarka.org/clavulina-coralloides
Clavulina rugosa,Набръчкана клавулина,http://manatarka.org/clavulina-rugosa
Clitocybe nebularis,Есенна миризливка|Обикновена орешарка|Орешарка|Сивушка|Чучулетка,http://manatarka.org/clitocybe-nebularis
Clitocybe odora,Анасонка|Анасонова миризливка|Зелена анасонова миризливка|Зелена миризливка,http://manatarka.org/clitocybe-odora
Clitocybe phyllophila,Заскрежена орешарка|Отровна орешарка,http://manatarka.org/clitocybe-phyllophila
Clitocybe rivulosa,Бяла отровна орешарка,http://manatarka.org/clitocybe-rivulosa
Clitocybe vermicularis,Вкореняваща се орешарка,http://manatarka.org/clitocybe-vermicularis
Clitopilus prunulus,Брашняна гъба,http://manatarka.org/clitopilus-prunulus
Coniophora puteana,Сутеренна гъба,http://manatarka.org/coniophora-puteana
Coprinus atramentarius,Мастилена копринка|Сива копринка,http://manatarka.org/coprinus-atramentarius
Coprinus comatus,Воловарка|Мастиленка|Порцеланова копринка|Чернилка,http://manatarka.org/coprinus-comatus
Coprinus disseminatus,Дребна копринка,http://manatarka.org/coprinus-disseminatus
Coprinus micaceus,Зърнеста копринка,http://manatarka.org/coprinus-micaceus
Coprinus niveus,Снежнобяла копринка,http://manatarka.org/coprinus-niveus
Coprinus picaceus,Пъстра копринка,http://manatarka.org/coprinus-picaceus
Corticium roseum,Розов кортициум,http://manatarka.org/corticium-roseum
Cortinarius bulliardii,Бюлярдов паяжинник,http://manatarka.org/cortinarius-bulliardii
Cortinarius cinnabarinus,Кървавочервен паяжинник|Оранжево-червена кожоглавка,http://manatarka.org/cortinarius-cinnabarinus
Cortinarius cinnamomeus,Канелен паяжинник,http://manatarka.org/cortinarius-cinnamomeus
Cortinarius orellanus,Оранжево-червен паяжинник,http://manatarka.org/cortinarius-orellanus
Cortinarius praestans,Боздуганка|Превъзходен паяжинник,http://manatarka.org/cortinarius-praestans
Cortinarius purpurascens,Пурпурен паяжинник,http://manatarka.org/cortinarius-purpurascens
Cortinarius trivialis,Обикновен паяжинник,http://manatarka.org/cortinarius-trivialis
Cotylidia pannosa,Розетка,http://manatarka.org/cotylidia-pannosa
Craterellus cornucopioides,Тръбенка,http://manatarka.org/craterellus-cornucopioides
Craterellus lutescens,Златист пачи крак,http://manatarka.org/craterellus-lutescens
Craterellus tubaeformis,Сиво-жълт пачи крак|Сиво-жълта тръбенка,http://manatarka.org/craterellus-tubaeformis
Crepidotus,Крепидотус,http://manatarka.org/crepidotus
Crinipellis subtomentosa,Мавритански кринипелис,http://manatarka.org/crinipellis-subtomentosa
Crucibulum laeve,Жълта гнездовка,http://manatarka.org/crucibulum-laeve
Cyathus olla,Гладък циатус,http://manatarka.org/cyathus-olla
Cyathus stercoreus,Торен циатус,http://manatarka.org/cyathus-stercoreus
Cyathus striatus,Набраздена чашка|Обикновен циатус|Циатус,http://manatarka.org/cyathus-striatus
Cystoderma amianthinum,Охреножълта зърненка,http://manatarka.org/cystoderma-amianthinum
Cystoderma carcharias,Сиво-розова зърненка,http://manatarka.org/cystoderma-carcharias
Cystodermella cinnabarina,Керемиденочервена зърненка,http://manatarka.org/cystodermella-cinnabarina
Daedalea quercina,Дъбов сюнгер|Дъбова гъба,http://manatarka.org/daedalea-quercina
Daedaleopsis confragosa,Дедалеопсис|Обикновен дедалеопсис,http://manatarka.org/daedaleopsis-confragosa
Daedaleopsis tricolor,Трицветен дедалеопсис,http://manatarka.org/daedaleopsis-tricolor
Dendrocollybia racemosa,Дендроколибия,http://manatarka.org/dendrocollybia-racemosa
Dermoloma cuneifolium,Дермолома|Обикновена дермолома,http://manatarka.org/dermoloma-cuneifolium
Disciotis venosa,Жилковиден дисциотис|Кафяво керино ухо,http://manatarka.org/disciotis-venosa
Dissingia leucomelaena,Паничковидна бучка,http://manatarka.org/dissingia-leucomelaena
Echinoderma asperum,Остролюспеста сърнелка,http://manatarka.org/echinoderma-asperum
Elaphomyces granulatus,Еленов трюфел|Зърнест трюфел|Зърнест червено-кафяв трюфел|Зърнист трюфел,http://manatarka.org/elaphomyces-granulatus
Entoloma clypeatum,Кайсиевка|Обикновена сливовка|Сливовка,http://manatarka.org/entoloma-clypeatum
Entoloma incanum,Маслиненозелена сливовка,http://manatarka.org/entoloma-incanum
Entoloma sinuatum,Оловносива отровна гъба|Отровен родофилус|Отровна сливовка,http://manatarka.org/entoloma-sinuatum
Entoloma vernum,Пролетна сливовка,http://manatarka.org/entoloma-vernum
Entonaema cinnabarinum,Ентонема,http://manatarka.org/entonaema-cinnabarinum
Exidia glandulosa,Жлезиста ексидия|Черна желатинка,http://manatarka.org/exidia-glandulosa/
Exidiopsis effusa,Ледена коса,http://manatarka.org/exidiopsis-effusa
Exsudoporus permagnificus,Великолепна манатарка|Величествена манатарка,http://manatarka.org/exsudoporus-permagnificus
Fistulina hepatica,Волски език|Овчарка|Чернодробна гъба|Чобанка,http://manatarka.org/fistulina-hepatica
Flammulina velutipes,Еноки|Енокитаке|Зимна прирънка|Зимненка,http://manatarka.org/flammulina-velutipes
Fomes fomentarius,Праханова гъба|Същинска праханова гъба,http://manatarka.org/fomes-fomentarius
Fomitopsis pinicola,Борова праханова гъба|Окантована гъба|Окантована прахан|Окрайчена гъба,http://manatarka.org/fomitopsis-pinicola
Galerina marginata,Отровна галерина,http://manatarka.org/galerina-marginata
Ganoderma applanatum,Плоска ганодерма,http://manatarka.org/ganoderma-applanatum
Ganoderma lucidum,Лакирана ганодерма|Линг жи|Лъскава ганодерма|Рейши,http://manatarka.org/ganoderma-lucidum
Ganoderma resinaceum,Смолиста ганодерма,http://manatarka.org/ganoderma-resinaceum
Geastrum coronatum,Коронована земна звезда,http://manatarka.org/geastrum-coronatum
Geastrum fimbriatum,Земна звезда|Обикновена земна звезда|Ресничеста земна звезда,http://manatarka.org/geastrum-fimbriatum
Geastrum michelianum,Трислойна земна звезда,http://manatarka.org/geastrum-michelianum
Geastrum minimum,Миниатюрна земна звезда,http://manatarka.org/geastrum-minimum
Geastrum pectinatum,Гребенеста земна звезда,http://manatarka.org/geastrum-pectinatum
Geastrum quadrifidum,Четириделна земна звезда,http://manatarka.org/geastrum-quadrifidum
Geastrum rufescens,Червенееща земна звезда,http://manatarka.org/geastrum-rufescens
Geastrum striatum,Бриантова земна звезда,http://manatarka.org/geastrum-striatum
Geoglossum umbratile,Чернеещ геоглосум,http://manatarka.org/geoglossum-umbratile
Gomphidius glutinosus,Сив овчи нос,http://manatarka.org/gomphidius-glutinosus
Gomphidius roseus,Розов овчи нос,http://manatarka.org/gomphidius-roseus
Gomphus clavatus,Виолетова тръбенка,http://manatarka.org/gomphus-clavatus
Grifola frondosa,Възседурка|Листовидна грифола|Майтаке,http://manatarka.org/grifola-frondosa
Guepinia helvelloides,Обиконвен тремискус|Тремискус|Червена лепкава тръбенка,http://manatarka.org/guepinia-helvelloides
Gymnopus androsaceus,Тичинковидна челядинка,http://manatarka.org/gymnopus-androsaceus
Gymnopus brassicolens,Зелева паричка,http://manatarka.org/gymnopus-brassicolens
Gymnopus confluens,Сраснали парички,http://manatarka.org/gymnopus-confluens
Gymnopus dryophilus,Горска челядинка,http://manatarka.org/gymnopus-dryophilus
Gymnopus fusipes,Бледорозова паричка,http://manatarka.org/gymnopus-fusipes
Gymnopus perforans,Дребна челядинка,http://manatarka.org/gymnopus-perforans
Gyrodon lividus,Оловносив гиродон,http://manatarka.org/gyrodon-lividus
Gyromitra esculenta,Дипленка|Мечо ухо|Обикновена дипленка|Сплесната бучка,http://manatarka.org/gyromitra-esculenta
Gyromitra gigas,Гигантска дипленка,http://manatarka.org/gyromitra-gigas
Gyromitra leucoxantha,Жълто-бяла дисцина,http://manatarka.org/gyromitra-leucoxantha
Gyromitra perlata,Зърнеста дисцина,http://manatarka.org/gyromitra-perlata
Gyroporus castaneus,Кестенка|Кестенява манатарка,http://manatarka.org/gyroporus-castaneus
Gyroporus cyanescens,Синейка|Синкава манатарка|Синянка,http://manatarka.org/gyroporus-cyanescens
Hebeloma sinapizans,Синапова гъба,http://manatarka.org/hebeloma-sinapizans/
Helvella acetabulum,Чашковидна бучка,http://manatarka.org/helvella-acetabulum
Helvella atra,Черна бучка,http://manatarka.org/helvella-atra
Helvella costifera,Оребрена бучка,http://manatarka.org/helvella-costifera
Helvella crispa,Белезникава бучка|Къдрава бучка,http://manatarka.org/helvella-crispa
Helvella elastica,Жилава дипленка|Разтеглива бучка|Сива бучка,http://manatarka.org/helvella-elastica
Helvella ephippium,Седловидна бучка,http://manatarka.org/helvella-ephippium
Helvella fusca,Кафява бучка,http://manatarka.org/helvella-fusca
Helvella lacunosa,Сива дипленка|Сиво-черна бучка|Яместа бучка,http://manatarka.org/helvella-lacunosa
Helvella phlebophora,Набраздена бучка,http://manatarka.org/helvella-phlebophora
Helvella spadicea,Белостъблена бучка,http://manatarka.org/helvella-spadicea
Hemileccinum depilatum,Габърова манатарка,http://manatarka.org/hemileccinum-depilatum
Hericium alpestre,Алпийски корал|Боров корал,http://manatarka.org/hericium-alpestre
Hericium cirrhatum,Розово-жълт дървесен корал|Розово-жълта рогачка,http://manatarka.org/hericium-cirrhatum
Hericium coralloides,Корал|Обикновен корал,http://manatarka.org/hericium-coralloides
Hericium erinaceus,Игловиден корал|Лъвска грива,http://manatarka.org/hericium-erinaceus
Hortiboletus rubellus,Тъмночервена манатарка|Червеникава манатарка,http://manatarka.org/hortiboletus-rubellus
Hydnellum aurantiacum,Оранжев хиднелум,http://manatarka.org/hydnellum-aurantiacum
Hydnellum caeruleum,Син хиднелум,http://manatarka.org/hydnellum-caeruleum
Hydnellum peckii,Дяволски зъби,http://manatarka.org/hydnellum-peckii
Hydnellum suaveolens,Ароматен хиднелум,http://manatarka.org/hydnellum-suaveolens
Hydnotrya,Хиднотрия,http://manatarka.org/hydnotrya
Hydnotrya tulasnei,Тюланова хиднотрия,http://manatarka.org/hydnotrya
Hydnum repandum,Жълта рогачка|Жълта сърнена рогачка|Жълта сърненка|Овчи крак,http://manatarka.org/hydnum-repandum
