Latin-Title,Bulgarian-Title,Resource-URL
Hemileccinum depilatum,Габърова манатарка,http://manatarka.org/hemileccinum-depilatum
Marasmius oreades,Гвоздейка,http://manatarka.org/marasmius-oreades
Gyromitra gigas,Гигантска дипленка,http://manatarka.org/gyromitra-gigas
Leucopaxillus giganteus,Гигантска орешарка,http://manatarka.org/leucopaxillus-gigianteus
Agaricus augustus,Гигантска печурка,http://manatarka.org/agaricus-augustus
Meripilus giganteus,Гигантска прахан,http://manatarka.org/meripilus-giganteus
Meripilus giganteus,Гигантска праханова гъба,http://manatarka.org/meripilus-giganteus
Calvatia gigantea,Гигантска пърхутка,http://manatarka.org/calvatia-gigantea
Macrolepiota procera,Гигантска сърнела,http://manatarka.org/macrolepiota-procera
Phlebiopsis gigantea,Гигантски флебиопсис,http://manatarka.org/phlebiopsis-gigantea
Leucopaxillus giganteus,Гигантски леукопаксилус,http://manatarka.org/leucopaxillus-giganteus
Calvatia excipuliformis,Главеста пърхутка,http://manatarka.org/calvatia-excipuliformis
Tremella encephala,Главеста тремела,http://manatarka.org/tremella-encephala
Russula aeruginea,Гладка зелена гълъбка,http://manatarka.org/russula-aeruginea
Paxillus involutus,Гладка киселка,http://manatarka.org/paxillus-involutus
Paxillus involutus,Гладка кладница,http://manatarka.org/paxillus-involutus
Russula aeruginea,Гладкозелена гълъбка,http://manatarka.org/russula-aeruginea
Cyathus olla,Гладък циатус,http://manatarka.org/cyathus-olla
Tricholoma colossus,Голяма есенна гъба,http://manatarka.org/tricholoma-colossus
Calvatia gigantea,Голяма планинска пърхутка,http://manatarka.org/calvatia-gigantea
Pluteus cervinus,Горделивка,http://manatarka.org/pluteus-cervinus
Agaricus sylvaticus,Горска печурка,http://manatarka.org/agaricus-sylvaticus
Lycoperdon perlatum,Горска пърхутка,http://manatarka.org/lycoperdon-perlatum
Gymnopus dryophilus,Горска челядинка,http://manatarka.org/gymnopus-dryophilus
Strobilomyces strobilaceus,Горски старец,http://manatarka.org/strobilomyces-strobilaceus
Agaricus arvensis,Горско-ливадна печурка,http://manatarka.org/agaricus-arvensis
Tricholoma acerbum,Горчива есенна гъба,http://manatarka.org/tricholoma-acerbum
Tricholoma vaccinum,Горчива есенна гъба,http://manatarka.org/tricholoma-vaccinum
Tylopilus felleus,Горчива манатарка,http://manatarka.org/tylopilus-felleus
Omphalotus olearius,Горчива миризливка,http://manatarka.org/omphalotus-olearius
Lactifluus vellereus,Горчива млечница,http://manatarka.org/lactifluus-vellereus
Hypholoma sublateritium,Горчива пънчушка,http://manatarka.org/hypholoma-sublateritium
Sarcodon leucopus,Горчива рогачка,http://manatarka.org/sarcodon-leucopus
Amanita franchetii,Грапаволюспеста мухоморка,http://manatarka.org/amanita-franchetii
Albatrellus cristatus,Гребенеста гъба,http://manatarka.org/albatrellus-cristatus
Geastrum pectinatum,Гребенеста земна звезда,http://manatarka.org/geastrum-pectinatum
Lepiota cristata,Гребенеста сърнелка,http://manatarka.org/lepiota-cristata
Phallus impudicus,Гъба фалос,http://manatarka.org/phallus-impudicus
Amanita excelsa,Гъстопетниста мухоморка,http://manatarka.org/amanita-excelsa
Agaricus bitorquis,Двупръстенна печурка,http://manatarka.org/agaricus-bitorquis
Agaricus arvensis,Дебелкиня,http://manatarka.org/agaricus-arvensis
Ampulloclitocybe clavipes,Дебелопънчеста орешарка,http://manatarka.org/ampulloclitocybe-clavipes
Daedaleopsis confragosa,Дедалеопсис,http://manatarka.org/daedaleopsis-confragosa
Dendrocollybia racemosa,Дендроколибия,http://manatarka.org/dendrocollybia-racemosa
Phallus impudicus,Дервишка,http://manatarka.org/phallus-impudicus
Dermoloma cuneifolium,Дермолома,http://manatarka.org/dermoloma-cuneifolium
Marasmius oreades,Джунджулка,http://manatarka.org/marasmius-oreades
Gyromitra esculenta,Дипленка,http://manatarka.org/gyromitra-esculenta
Coprinus disseminatus,Дребна копринка,http://manatarka.org/coprinus-disseminatus
Agaricus comtulus,Дребна печурка,http://manatarka.org/agaricus-comtulus
Gymnopus perforans,Дребна челядинка,http://manatarka.org/gymnopus-perforans
Lactarius spinosulus,Дребнолюспеста млечница,http://manatarka.org/lactarius-spinosulus
Amanita strobiliformis,Дрипава мухоморка,http://manatarka.org/amanita-strobiliformis
Lactarius rufus,Дъбарка,http://manatarka.org/lactarius-rufus
Daedalea quercina,Дъбов сюнгер,http://manatarka.org/daedalea-quercina
Daedalea quercina,Дъбова гъба,http://manatarka.org/daedalea-quercina
Boletus reticulatus,Дъбова манатарка,http://manatarka.org/boletus-reticulatus
Lactarius quietus,Дъбова млечница,http://manatarka.org/lactarius-quietus
Xylaria hypoxylon,Дървесна ксилария,http://manatarka.org/xylaria-hypoxylon
Buchwaldoboletus lignicola,Дърворазрушаваща манатарка,http://manatarka.org/buchwaldoboletus-lignicola/
Rubroboletus satanas,Дяволска гъба,http://manatarka.org/rubroboletus-satanas
Hydnellum peckii,Дяволски зъби,http://manatarka.org/hydnellum-peckii
Leucopaxillus giganteus,Едра белезникава киселка,http://manatarka.org/leucopaxillus-giganteus
Limacella guttata,Едра лимацела,http://manatarka.org/limacella-guttata
Infundibulicybe geotropa,Едра миризливка,http://manatarka.org/infundibulicybe-geotropa
Infundibulicybe geotropa,Едра орешарка,http://manatarka.org/infundibulicybe-geotropa
Amanita vittadinii,Едролюспеста мухоморка,http://manatarka.org/amanita-vittadinii
Agaricus urinascens,Едроспорова печурка,http://manatarka.org/agaricus-urinascens
Suillus grevillei,Елегантна масловка,http://manatarka.org/suillus-grevillei
Macrolepiota mastoidea,Елегантна сърнела,http://manatarka.org/macrolepiota-mastoidea
Elaphomyces granulatus,Еленов трюфел,http://manatarka.org/elaphomyces-granulatus
Pluteus cervinus,Еленова гъба,http://manatarka.org/pluteus-cervinus
Lactarius salmonicolor,Елова рижика,http://manatarka.org/lactarius-salmonicolor
Rutstroemia bulgarioides,Елово-шишаркова пезиза,http://manatarka.org/rutstroemia-bulgarioides
Rutstroemia bulgarioides,Елово-шишаркова рутщрьомия,http://manatarka.org/rutstroemia-bulgarioides
Paxillus rubicundulus,Елшова киселка,http://manatarka.org/paxillus-rubicundulus
Flammulina velutipes,Еноки,http://manatarka.org/flammulina-velutipes
Flammulina velutipes,Енокитаке,http://manatarka.org/flammulina-velutipes
Entonaema cinnabarinum,Ентонема,http://manatarka.org/entonaema-cinnabarinum
Pleurotus eryngii,Есенен пачи крак,http://manatarka.org/pleurotus-eryngii
Tricholoma portentosum,Есенна гъба,http://manatarka.org/tricholoma-portentosum
Tricholoma terreum,Есенна гъба,http://manatarka.org/tricholoma-terreum
Hygrocybe pratensis,Есенна ливадна гъба,http://manatarka.org/hygrocybe-pratensis
Clitocybe nebularis,Есенна миризливка,http://manatarka.org/clitocybe-nebularis
Leotia lubrica,Желатинова шапчица,http://manatarka.org/leotia-lubrica
Lentinus lepideus,Жилава гъба,http://manatarka.org/lentinus-lepideus
Helvella elastica,Жилава дипленка,http://manatarka.org/helvella-elastica
Disciotis venosa,Жилковиден дисциотис,http://manatarka.org/disciotis-venosa
Exidia glandulosa,Жлезиста ексидия,http://manatarka.org/exidia-glandulosa/
Russula fellea,Жлъчна гълъбка,http://manatarka.org/russula-fellea
Bolbitius vitellinus,Жълт болбитиус,http://manatarka.org/bolbitius-vitellinus
Tricholoma sulphureum,Жълта бархетна гъба,http://manatarka.org/tricholoma-sulphureum
Leccinum crocipodium,Жълта брезова манатарка,http://manatarka.org/leccinum-crocipodium
Leccinum crocipodium,Жълта брезовка,http://manatarka.org/leccinum-crocipodium
Crucibulum laeve,Жълта гнездовка,http://manatarka.org/crucibulum-laeve
Tremella mesenterica,Жълта желатинова гъба,http://manatarka.org/tremella-mesenterica
Tremella mesenterica,Жълта желирана гъба,http://manatarka.org/tremella-mesenterica
Stereum hirsutum,Жълта кожеста гъба,http://manatarka.org/stereum-hirsutum
Butyriboletus appendiculatus,Жълта манатарка,http://manatarka.org/butyriboletus-appendiculatus
Amanita citrina,Жълта мухоморка,http://manatarka.org/amanita-citrina
Otidea onotica,Жълта отидеа,http://manatarka.org/otidea-onotica
Hydnum repandum,Жълта рогачка,http://manatarka.org/hydnum-repandum
Neolecta vitellina,Жълта свещичка,http://manatarka.org/neolecta-vitellina
Spathularia flavida,Жълта спатулария,http://manatarka.org/spathularia-flavida
Hydnum repandum,Жълта сърнена рогачка,http://manatarka.org/hydnum-repandum
Hydnum repandum,Жълта сърненка,http://manatarka.org/hydnum-repandum
Tremella mesenterica,Жълта тремела,http://manatarka.org/tremella-mesenterica
Hygrocybe acutoconica,Жълта черешова гъба,http://manatarka.org/hygrocybe-acutoconica
Lactarius chrysorrheus,Жълтееща млечница,http://manatarka.org/lactarius-chrysorrheus
Stereum hirsutum,Жълтеникав стереум,http://manatarka.org/stereum-hirsutum
Gyromitra leucoxantha,Жълто-бяла дисцина,http://manatarka.org/gyromitra-leucoxantha
Tricholoma equestre,Жълто-зелена бархетна гъба,http://manatarka.org/tricholoma-equestre
Podophacidium xanthomelum,Жълто-кафяв подофацидиум,http://manatarka.org/podophacidium-xanthomelum
Infundibulicybe gibba,Жълто-кафява миризливка,http://manatarka.org/infundibulicybe-gibba
Amanita gemmata,Жълто-розова мухоморка,http://manatarka.org/amanita-gemmata
Lentinellus cochleatus,Жълто-червена кладница,http://manatarka.org/lentinellus-cochleatus
Otidea onotica,Жълто-червено керино ухо,http://manatarka.org/otidea-onotica
Rubroboletus rhodoxanthus,Жълтурка,http://manatarka.org/rubroboletus-rhodoxanthus
Otidea leporina,Заешко ушенце,http://manatarka.org/otidea-leporina
Clitocybe phyllophila,Заскрежена орешарка,http://manatarka.org/clitocybe-phyllophila
Hygrocybe perplexa,Захаросана черешова гъба,http://manatarka.org/hygrocybe-perplexa
Macrolepiota konradii,Звездовидна сърнела,http://manatarka.org/macrolepiota-konradii
Zeus olympius,Зевс Олимпийски,http://manatarka.org/zeus-olympius
Gymnopus brassicolens,Зелева паричка,http://manatarka.org/gymnopus-brassicolens
Clitocybe odora,Зелена анасонова миризливка,http://manatarka.org/clitocybe-odora
Russula virescens,Зелена гълъбка,http://manatarka.org/russula-virescens
Stropharia aeruginosa,Зелена меднянка,http://manatarka.org/stropharia-aeruginosa
Clitocybe odora,Зелена миризливка,http://manatarka.org/clitocybe-odora
Amanita phalloides,Зелена мухоморка,http://manatarka.org/amanita-phalloides
Sparassis crispa,Зелчеста гъба,http://manatarka.org/sparassis-crispa
Tricholoma terreum,Землиста гъба,http://manatarka.org/tricholoma-terreum
Geastrum fimbriatum,Земна звезда,http://manatarka.org/geastrum-fimbriatum
